Simulations,Model,Metric
3,Observed,0.13778818320313418
3,Theoretical A,0.19570928172358962
3,Theoretical B,0.39141856344717924
4,Observed,0.334294536450545
4,Theoretical A,0.4168587259600049
4,Theoretical B,0.6380081701964203
5,Observed,0.5228151776050011
5,Theoretical A,0.6026249189150706
5,Theoretical B,0.7883911118701364
6,Observed,0.6748860108705194
6,Theoretical A,0.7399490265164741
6,Theoretical B,0.8772731341178776
7,Observed,0.7862654427836943
7,Theoretical A,0.8344839773964768
7,Theoretical B,0.9290189282764798
8,Observed,0.8630622720317846
8,Theoretical A,0.8967163151609135
8,Theoretical B,0.9589486529253503
9,Observed,0.9139157646962814
9,Theoretical A,0.9364717975497797
9,Theoretical B,0.976227279938646
10,Observed,0.9466495644540154
10,Theoretical A,0.9613397761980881
10,Theoretical B,0.9862077548463968
